age,ed,employ,address,income_transformed,debtinc,creddebt_transformed,othdebt_transformed,default
36,2,12,13,60000,7.9,1720.62,3019.38,0
34,2,9,13,45000,10.1,1118.07,3426.93,0
45,3,2,5,39000,4.9,458.64,1452.36,0
38,1,6,0,41000,8.9,266.38,3382.62,0
21,3,0,2,24000,7.7,833.45,1014.55,0
42,1,12,11,51000,21.4,2411.99,8502.01,0
52,1,16,25,64000,8.6,1865.86,3638.14,0
25,2,4,6,33000,5.2,552.55,1163.45,0
34,2,9,9,65000,6.2,2107.69,1922.31,0
40,2,15,16,73000,3.4,1032.51,1449.49,0
31,2,0,4,27000,12.8,1088.64,2367.36,1
25,1,1,0,20000,6.7,471.68,868.32,1
45,1,12,19,37000,9.5,1342.73,2172.27,0
23,1,3,0,19000,8.4,279.3,1316.7,1
34,4,6,3,27000,35.3,1982.45,7548.55,1
31,1,2,4,22000,12.7,1092.45,1701.55,1
28,1,5,9,22000,2.8,140.45,475.55,0
41,1,7,11,43000,4.4,694.36,1197.64,0
39,2,7,2,68000,13,1016.6,7823.4,1
29,2,9,3,36000,1.4,127.01,376.99,0
21,1,5,1,25000,9,366.75,1883.25,0
41,2,19,2,68000,5.8,1506.61,2437.39,0
26,4,1,7,27000,2.9,311.63,471.37,0
33,1,5,10,18000,12.9,984.53,1337.47,0
45,2,18,19,35000,17.4,548.1,5541.9,0
39,1,17,20,60000,13.7,2449.56,5770.44,0
24,1,7,2,21000,6.3,519.94,803.06,0
29,2,6,7,57000,2.2,452.69,801.31,0
27,2,1,0,23000,12.4,285.2,2566.8,0
40,1,13,2,28000,5.9,964.77,687.23,0
29,1,8,10,24000,6.7,469.54,1138.46,0
29,2,4,3,37000,6.6,1159.95,1282.05,1
24,1,0,2,16000,16,1008.64,1551.36,1
27,1,9,6,45000,17.8,2851.56,5158.44,1
41,3,16,22,135000,4.4,1277.1,4662.9,0
31,1,11,8,25000,9.1,141.05,2133.95,0
41,1,16,17,68000,5.4,447.98,3224.02,0
42,2,5,3,41000,3.4,355.47,1038.53,0
28,4,1,3,26000,12.4,377.21,2846.79,0
30,4,2,8,25000,10,1770,730,0
30,1,11,1,33000,8.4,681.91,2090.09,0
31,1,8,4,44000,8,1721.28,1798.72,0
45,2,15,14,51000,18.1,1550.81,7680.19,0
43,1,13,23,76000,6.1,2151.1,2484.9,1
36,1,4,10,23000,16.3,1327.15,2421.85,0
28,1,8,6,30000,7.2,613.44,1546.56,0
27,2,3,5,33000,13.2,1633.5,2722.5,0
36,3,13,3,39000,19.2,2800.51,4687.49,0
33,1,12,11,32000,11.3,2104.51,1511.49,0
54,1,9,2,28000,14.8,1558.14,2585.86,1
33,1,9,4,29000,13.8,1348.67,2653.33,1
31,1,9,5,26000,4.5,310.05,859.95,0
21,1,4,0,26000,8.9,1420.8,893.2,0
28,3,5,9,44000,8.7,773.26,3054.74,0
31,2,2,1,26000,6.8,282.88,1485.12,1
32,1,8,6,26000,4.1,326.2,739.8,0
35,2,1,8,24000,12.5,591,2409,1
40,2,13,11,102000,18.9,6226.79,13051.21,1
22,1,4,2,24000,15.6,1636.13,2107.87,1
39,1,4,9,38000,6.5,1178.19,1291.81,0
41,4,14,3,44000,1.7,353.06,394.94,0
34,1,16,9,79000,4,1734.84,1425.16,0
29,1,7,9,22000,9.7,550.57,1583.43,0
31,1,4,10,28000,11.3,291.09,2872.91,0
32,1,1,0,20000,4.8,314.88,645.12,1
32,1,14,7,73000,8.8,3751.62,2672.38,0
33,1,6,14,21000,7.5,567,1008,0
26,1,6,0,22000,10.3,720.59,1545.41,0
21,1,1,1,18000,17.3,158.81,2955.19,0
28,2,7,2,34000,7,359.38,2020.62,0
37,1,13,5,24000,8.9,602.35,1533.65,0
33,2,2,14,35000,22.9,2123.98,5891.03,1
39,1,12,10,46000,5,561.2,1738.8,0
40,2,8,19,57000,5.6,877.8,2314.2,0
45,3,16,21,80000,3,912,1488,0
27,1,10,6,34000,6.5,850.85,1359.15,0
28,4,0,7,29000,24.2,1424.65,5593.35,0
39,1,13,9,27000,8,965.52,1194.48,0
40,1,14,21,43000,15,2792.85,3657.15,1
27,1,11,8,56000,16.9,4637.36,4826.64,0
36,1,1,4,16000,9.3,433.01,1054.99,0
55,1,19,2,78000,15.6,4404.82,7763.18,0
27,2,4,3,22000,13.2,1086.1,1817.9,1
30,1,1,8,17000,11,746.13,1123.87,0
36,1,10,0,28000,11.2,815.36,2320.64,1
31,1,1,6,21000,2.5,277.2,247.8,1
33,2,13,2,40000,7.2,181.44,2698.56,0
30,1,4,0,33000,4.2,500.35,885.65,0
24,1,1,0,18000,5.9,238.95,823.05,1
33,4,9,10,28000,4.3,376.85,827.15,0
50,1,8,27,47000,6.9,398.89,2844.11,0
31,2,6,6,32000,23.1,3341.18,4050.82,1
28,1,3,7,19000,4.1,260.97,518.04,0
44,3,8,10,88000,6.1,284.5,5083.5,1
48,4,3,23,45000,9.8,974.61,3435.39,0
36,2,0,17,30000,9.7,328.83,2581.17,0
29,3,7,1,63000,5.5,571.73,2893.28,0
40,3,17,11,116000,6,2561.28,4398.72,0
33,1,7,6,26000,6,542.88,1017.12,0
26,2,6,6,30000,1,143.7,156.3,0
36,1,14,11,81000,7.2,1784.59,4047.41,0
26,2,6,0,35000,1.9,85.79,579.22,0
40,3,16,6,116000,12.1,1614.14,12421.86,0
44,1,5,3,48000,9,1969.92,2350.08,1
29,3,1,10,30000,4.5,279.45,1070.55,0
35,3,5,3,37000,5.4,581.42,1416.58,1
34,1,16,3,75000,10.4,3954.6,3845.4,0
34,3,12,8,47000,6.7,1300.54,1848.46,0
46,1,14,25,35000,10.2,1349.46,2220.54,0
41,2,21,22,145000,12.2,3237.27,14452.73,0
27,2,7,8,30000,4,447.6,752.4,1
27,4,0,6,70000,8,1618.4,3981.6,1
28,1,11,6,24000,2.4,107.14,468.86,0
48,3,0,27,19000,10.8,849.53,1202.47,0
48,3,17,26,113000,12,3376.44,10183.56,0
29,3,5,6,70000,19.9,3176.04,10753.96,1
43,2,9,5,60000,20.4,4039.2,8200.8,1
23,1,5,2,17000,7.9,302.18,1040.83,0
29,2,10,8,44000,18.1,3703.26,4260.74,0
40,4,5,6,75000,1.9,884.93,540.08,0
22,2,0,3,20000,5.6,207.2,912.8,0
23,1,7,3,22000,14.4,849.02,2318.98,0
46,3,9,10,60000,15.3,1606.5,7573.5,0
55,1,3,11,40000,8,563.2,2636.8,1
38,2,8,16,38000,0.6,29.41,198.59,0
35,2,5,1,33000,2.8,103.49,820.51,0
30,1,11,9,27000,0.9,73.87,169.13,0
24,1,7,0,18000,6.5,526.5,643.5,0
26,2,4,3,28000,9.5,226.1,2433.9,0
32,2,2,11,15000,9.1,118.76,1246.25,1
37,2,11,4,75000,3.5,632.63,1992.38,0
39,1,6,19,42000,19.9,2540.83,5817.17,1
30,2,4,4,21000,18.3,491.9,3351.1,0
30,1,10,11,39000,9.5,2056.28,1648.73,0
32,2,7,10,32000,4.3,433.44,942.56,0
54,3,21,20,118000,14.4,9600.48,7391.52,0
27,3,3,4,35000,13.3,1601.32,3053.68,0
31,1,12,4,31000,23.7,2057.16,5289.84,0
39,1,15,16,39000,1.8,139.7,562.3,0
31,1,5,3,25000,14.1,1177.35,2347.65,0
35,1,15,11,40000,18.5,1213.6,6186.4,0
35,2,10,16,98000,13.3,4874.72,8159.28,0
46,2,22,17,144000,11.1,3324.67,12659.33,0
33,1,13,3,52000,21.3,2713.62,8362.38,1
35,2,13,3,105000,1.9,1418.45,576.56,0
35,2,1,1,21000,7.9,369.96,1289.04,0
38,1,5,13,21000,9,449.82,1440.18,0
41,1,19,1,96000,7.8,2253.89,5234.11,0
38,1,18,19,44000,4.5,605.88,1374.12,0
34,3,2,14,39000,13.2,1142.86,4005.14,0
51,3,16,25,82000,4.4,2604.98,1003.02,0
34,2,10,2,33000,9.5,573.71,2561.3,0
47,1,15,1,30000,24.5,2212.35,5137.65,0
34,2,8,6,78000,5.4,2156.54,2055.46,0
27,2,8,7,18000,11.9,400.55,1741.45,0
52,1,9,11,24000,19.2,801.79,3806.21,1
39,1,9,6,35000,5,232.75,1517.25,0
33,1,7,0,22000,6.4,630.78,777.22,0
34,1,0,1,21000,7.2,187.49,1324.51,0
31,3,9,7,59000,14.6,3109.65,5504.35,1
28,1,2,9,16000,15.2,870.66,1561.34,0
39,1,19,16,45000,3.7,915.75,749.25,0
51,2,22,23,120000,7.6,4140.48,4979.52,0
22,1,4,1,16000,1.2,84.48,107.52,0
27,3,6,4,26000,10.4,930.18,1773.82,0
32,1,16,10,38000,21,694.26,7285.74,0
28,2,6,7,38000,7.2,774.29,1961.71,0
27,2,1,0,20000,10.3,376.98,1683.02,1
26,2,2,6,24000,13.6,1576.51,1687.49,1
32,1,14,0,36000,2.4,273.02,590.98,0
30,1,0,11,17000,3.7,446.59,182.41,1
39,1,13,1,38000,8.9,1897.3,1484.7,0
31,1,11,6,28000,4.8,345.41,998.59,1
34,1,15,2,39000,24.7,4373.38,5259.62,1
31,1,8,3,41000,12.6,134.32,5031.68,0
29,2,1,7,25000,10.4,569.4,2030.6,0
29,1,9,0,25000,13.9,1070.3,2404.7,0
35,2,9,16,30000,7.6,649.8,1630.2,0
29,1,11,7,32000,6,927.36,992.64,0
38,2,2,16,22000,22.7,1208.55,3785.45,1
35,1,16,15,36000,3.4,178.7,1045.3,0
29,1,11,5,36000,6.1,709.31,1486.69,0
23,2,3,4,34000,4.4,261.8,1234.2,0
33,4,9,8,32000,5.5,496.32,1263.68,0
51,2,19,25,159000,2.8,1068.48,3383.52,0
24,1,4,2,21000,2.6,99.37,446.63,0
31,1,10,12,49000,9.8,3236.55,1565.45,1
45,1,10,14,52000,5.4,932.26,1875.74,0
29,1,3,1,17000,9,469.71,1060.29,0
34,1,0,10,20000,17.1,2048.58,1371.42,0
25,2,4,5,27000,5,549.45,800.55,1
37,1,20,2,56000,1.9,542.64,521.36,0
47,1,29,18,129000,25.3,20561.31,12075.69,1
43,2,6,24,54000,9.6,622.08,4561.92,0
47,1,22,19,81000,5.5,1505.79,2949.21,0
24,1,6,2,21000,5.2,108.11,983.89,0
27,3,5,1,75000,6.3,2206.58,2518.43,0
25,1,9,4,18000,1.2,65.88,150.12,0
36,3,11,12,44000,14.7,446.29,6021.71,0
39,1,16,20,57000,19.4,1559.18,9498.82,0
26,1,10,1,25000,7.1,1306.4,468.6,0
41,1,4,19,25000,10.1,1060.5,1464.5,0
39,1,19,15,60000,27.1,9593.4,6666.6,1
37,1,18,8,54000,12.1,4593.4,1940.6,0
29,1,2,0,14000,14.4,586.66,1429.34,1
42,1,6,9,31000,11.6,1024.86,2571.14,0
31,4,1,6,29000,11.1,1065.49,2153.51,0
36,1,4,15,17000,17.3,520.56,2420.44,0
39,1,16,4,52000,20,4160,6240,0
23,4,0,2,23000,6.7,468.46,1072.54,0
39,1,4,15,33000,7,397.32,1912.68,0
27,3,4,1,40000,3.1,283.96,956.04,1
24,1,8,4,24000,5,381.6,818.4,0
27,3,3,4,45000,11,292.05,4657.95,1
41,1,16,22,49000,1.6,431.2,352.8,0
38,1,0,8,23000,8.1,897.97,965.03,1
40,2,5,12,35000,16.4,1584.24,4155.76,1
54,1,25,12,120000,26.5,14596.2,17203.8,1
40,1,12,6,89000,17.4,2771.99,12714.01,0
40,1,2,4,32000,3.7,853.66,330.34,0
29,1,1,8,31000,8,156.24,2323.76,0
30,1,8,6,23000,12,761.76,1998.24,0
29,1,1,1,18000,1.1,29.9,168.1,0
29,3,3,3,50000,2.4,259.2,940.8,1
28,4,2,4,41000,2.5,459.2,565.8,1
28,4,0,5,38000,10.4,636.27,3315.73,0
39,2,16,9,89000,14.3,5001.71,7725.29,0
32,1,11,2,53000,3.3,89.2,1659.8,0
36,2,7,16,43000,15.4,2648.8,3973.2,0
39,1,20,12,39000,8.2,773.92,2424.08,0
28,3,6,8,47000,19.8,5574.29,3731.71,1
28,1,4,2,28000,14.2,437.36,3538.64,1
46,1,6,19,31000,12.2,1985.55,1796.45,0
30,2,4,8,15000,6.5,350.03,624.98,0
39,2,15,19,32000,4.9,421.79,1146.21,0
40,3,5,3,220000,16,8166.4,27033.6,1
44,2,18,4,74000,13.4,4521.7,5394.3,0
30,1,0,8,19000,16.6,624.49,2529.51,1
24,2,3,0,19000,4.3,358.66,458.34,0
32,1,10,13,32000,11.3,1167.97,2448.03,0
29,2,3,8,15000,2.6,146.64,243.36,0
40,2,2,1,36000,3.8,277.7,1090.3,0
41,2,8,21,43000,0.7,85.79,215.22,0
22,1,1,3,17000,18.6,806.31,2355.69,0
38,1,10,8,34000,1.2,36.31,371.69,0
37,2,6,13,62000,8.5,1185.75,4084.25,0
41,3,18,6,71000,15.7,6565.58,4581.42,1
41,3,7,6,56000,14.5,373.52,7746.48,1
39,1,2,15,22000,23.1,1915.91,3166.09,1
24,2,0,2,15000,16.1,321.2,2093.81,1
32,3,9,10,51000,23,2686.17,9043.83,0
21,3,0,1,26000,7.7,1529.53,472.47,0
29,1,13,7,27000,2.3,68.93,552.07,0
35,2,14,3,82000,0.8,468.38,187.62,0
29,1,6,7,21000,18.1,1109.89,2691.11,0
41,2,2,22,30000,6.7,112.56,1897.44,0
37,1,0,18,18000,12.9,1583.6,738.4,1
32,2,3,13,47000,1.9,428.64,464.36,0
36,5,5,12,20000,8.1,729,891,0
39,2,18,9,44000,2.1,367.75,556.25,0
36,1,18,9,67000,11.2,5245.3,2258.7,0
46,3,22,4,99000,2.3,826.55,1450.45,0
34,1,13,11,51000,9.6,1875.17,3020.83,0
27,1,7,4,26000,9.1,641.19,1724.81,0
43,1,8,11,45000,3.3,677.16,807.84,0
33,1,14,8,72000,41.3,15016.68,14719.32,1
39,2,20,17,101000,1.4,340.77,1073.23,0
29,1,1,4,17000,2.5,131.75,293.25,0
34,4,7,15,40000,6.4,949.76,1610.24,0
26,1,1,0,21000,4.9,608.14,420.86,0
31,1,15,2,60000,4.8,803.52,2076.48,0
26,1,10,6,24000,2.7,311.04,336.96,0
28,1,12,7,45000,7.7,1853.78,1611.23,0
48,1,13,20,50000,30.8,6113.8,9286.2,1
39,2,2,12,46000,16,4003.84,3356.16,1
37,1,3,3,25000,3.7,275.65,649.35,0
52,5,9,0,70000,9.4,1329.16,5250.84,1
48,1,3,11,27000,21.3,1403.24,4347.76,0
26,1,7,3,22000,5.1,208.69,913.31,0
46,5,15,0,126000,3.1,476.53,3429.47,0
31,1,7,10,23000,4.9,225.4,901.6,0
34,1,13,8,56000,6.1,864.25,2551.75,0
40,1,22,4,95000,3.6,632.7,2787.3,0
24,3,2,5,16000,6.4,270.34,753.66,1
33,1,2,14,44000,3.1,525.14,838.86,0
53,4,5,29,78000,17.3,6935.92,6558.08,1
47,3,9,1,52000,20.1,2539.84,7912.16,1
35,1,5,5,32000,13,174.72,3985.28,0
34,1,14,8,28000,17,1137.64,3622.36,0
49,1,11,5,39000,10.1,2457.94,1481.06,0
26,2,0,7,28000,9.3,1270.75,1333.25,0
23,1,2,2,16000,9.6,804.86,731.14,1
23,2,0,4,21000,8.7,454.92,1372.08,0
38,2,4,13,56000,1.6,441.73,454.27,0
28,2,5,2,37000,8.3,1123.99,1947.01,0
30,3,0,8,65000,29.7,3899.61,15405.39,1
34,1,18,10,34000,15.4,2099.64,3136.36,0
50,2,16,14,71000,11.1,1662.89,6218.11,0
29,1,12,2,40000,6.7,1632.12,1047.88,0
42,3,0,9,64000,6.6,278.78,3945.22,0
31,1,13,12,27000,5,237.6,1112.4,0
39,1,10,4,31000,4.8,184.51,1303.49,0
45,2,21,26,132000,3,2558.16,1401.84,0
45,1,22,24,91000,11.7,1256.35,9390.65,0
36,1,14,17,53000,5.7,1888.13,1132.88,0
25,4,0,6,24000,12.1,1597.2,1306.8,1
29,2,1,7,29000,21.2,2330.09,3817.91,1
30,2,8,4,56000,6.4,333.31,3250.69,0
31,1,1,1,24000,4.5,217.08,862.92,0
43,1,4,2,29000,4.6,53.36,1280.64,0
32,2,11,4,57000,23.8,5439.97,8126.03,1
47,1,19,7,50000,30.1,3175.55,11874.45,0
46,1,1,15,21000,14.8,1376.84,1731.16,1
43,2,16,10,83000,4.1,258.63,3144.37,0
48,1,3,7,24000,7,764.4,915.6,0
30,3,8,7,61000,2.8,549.98,1158.02,0
23,4,0,4,32000,18.4,818.43,5069.57,1
36,4,8,0,32000,1.6,24.58,487.42,0
20,3,0,1,17000,2.3,43.79,347.21,0
43,1,16,7,89000,0.4,159.49,196.51,0
23,1,2,1,25000,4.5,123.75,1001.25,1
41,1,21,2,76000,20.5,6948.68,8631.32,0
34,1,12,5,68000,25.1,7817.14,9250.86,1
50,1,11,5,36000,4.8,834.62,893.38,0
40,1,9,4,64000,6.6,789.89,3434.11,0
29,2,0,8,22000,12.9,1038.71,1799.29,1
39,2,9,16,56000,18.7,4764.76,5707.24,0
24,2,1,2,42000,5.7,837.9,1556.1,0
27,1,0,5,16000,1.1,130.42,45.58,0
40,3,18,14,157000,6.6,3326.2,7035.8,0
32,2,8,2,45000,3.7,982.35,682.65,0
39,2,16,12,53000,3.7,694.19,1266.81,0
40,1,22,1,100000,14.6,5402,9198,0
32,1,10,11,42000,9.1,1540.27,2281.73,0
39,1,23,1,75000,18.9,3132.68,11042.33,0
24,1,3,3,21000,28.9,2682.5,3386.5,1
43,4,18,14,446000,6.5,16031.47,12958.53,1
56,1,11,20,59000,15,4672.8,4177.2,0
32,3,5,9,23000,4.5,326.03,708.98,0
42,1,7,12,25000,10.2,1629.45,920.55,0
46,3,3,13,43000,13.2,3042.34,2633.66,1
31,1,2,2,22000,16.4,1739.06,1868.94,1
43,1,25,16,242000,2.6,1635.92,4656.08,0
28,2,6,9,22000,11.5,650.21,1879.79,0
39,3,11,17,39000,12.9,2560.78,2470.22,0
39,1,0,8,39000,7.9,1066.03,2014.97,0
37,4,1,14,33000,16.1,2693.69,2619.31,1
30,1,0,11,17000,12,303.96,1736.04,0
37,5,9,16,177000,5.9,887.66,9555.35,0
22,1,4,3,14000,17.5,225.4,2224.6,0
50,1,1,26,26000,14.3,1851.56,1866.44,0
30,1,10,2,19000,4.4,336.07,499.93,0
39,1,8,0,21000,4,276.36,563.64,0
21,2,0,2,21000,12.5,488.25,2136.75,1
31,3,9,2,28000,2.6,121.58,606.42,0
31,2,9,1,30000,5.8,602.04,1137.96,0
48,1,0,23,30000,22.3,2662.62,4027.38,0
28,1,4,1,16000,23.8,1085.28,2722.72,0
47,3,16,26,221000,17.6,15791.78,23104.22,1
27,2,6,1,34000,4.4,237.86,1258.14,0
29,2,6,10,65000,18.4,1985.36,9974.64,0
21,2,2,0,20000,4.5,290.7,609.3,1
29,1,7,5,20000,19.8,1005.84,2954.16,1
24,4,0,3,29000,6.6,589.51,1324.49,1
44,1,12,3,31000,9.7,357.83,2649.17,0
22,1,1,0,18000,4.4,270.07,521.93,0
38,2,13,0,59000,2.4,407.81,1008.19,0
52,2,12,16,76000,7.7,994.84,4857.16,0
25,1,3,2,18000,16.3,352.08,2581.92,1
25,1,5,5,22000,10.9,402.86,1995.14,0
51,2,27,21,166000,11.5,820.87,18269.13,0
38,1,21,16,58000,16.5,4584.03,4985.97,0
44,1,9,20,33000,5.2,545.69,1170.31,0
24,2,2,3,26000,9.7,887.74,1634.26,1
34,1,5,3,33000,7.3,778.11,1630.89,0
25,2,6,2,26000,4.5,70.2,1099.8,0
45,3,5,17,94000,10.5,3612.42,6257.58,1
34,2,4,10,25000,5.8,569.85,880.15,0
27,4,2,8,23000,5.7,319.88,991.12,1
33,2,10,13,57000,20.9,6111.37,5801.63,1
35,2,0,16,22000,15,1970.1,1329.9,1
50,2,15,31,60000,1.1,467.94,192.06,0
33,1,13,13,42000,3.6,228.31,1283.69,0
41,3,13,13,91000,25.2,2316.13,20615.87,1
28,1,0,2,28000,33.3,2284.38,7039.62,1
38,3,12,14,63000,16,5715.36,4364.64,1
25,1,3,2,16000,17.8,1011.04,1836.96,1
47,2,4,9,33000,7.1,1194.93,1148.07,1
30,2,12,9,98000,7.2,2935.3,4120.7,0
44,2,12,5,86000,13,1475.76,9704.24,0
25,1,0,2,18000,18.9,513.7,2888.3,1
41,2,6,0,36000,19.5,4513.86,2506.14,1
22,3,0,1,18000,7.7,478.17,907.83,0
35,2,3,11,40000,17.2,1802.56,5077.44,1
42,5,6,23,190000,7.8,3156.66,11663.34,0
38,1,3,19,23000,14.7,831.73,2549.27,0
23,2,1,3,18000,18.7,885.26,2480.74,1
28,3,2,5,30000,19.9,1522.35,4447.65,0
52,1,19,25,89000,4.7,397.39,3785.62,0
25,1,9,2,20000,3.5,105,595,0
28,2,1,4,16000,14.7,573.89,1778.11,0
43,1,19,11,79000,7.5,782.1,5142.9,0
24,2,3,1,24000,19.1,2172.82,2411.18,0
34,3,13,7,52000,9.2,1497.39,3286.61,0
29,2,6,9,25000,4.2,584.85,465.15,0
31,1,6,9,21000,8.3,728.57,1014.43,0
42,2,14,1,48000,8.6,1201.25,2926.75,1
49,2,11,1,51000,15,543.15,7106.85,0
39,1,22,9,73000,14.3,3726.72,6712.28,0
45,3,0,19,22000,4.2,30.49,893.51,0
41,1,7,22,32000,2.9,72.38,855.62,0
29,2,9,0,46000,1.6,241.41,494.59,0
35,3,7,5,38000,15.1,1382.86,4355.14,0
27,2,5,6,25000,6.8,705.5,994.5,0
28,1,4,7,19000,4.1,286.67,492.33,0
48,1,17,22,66000,3.2,1467.84,644.16,0
24,1,2,5,18000,6,528.12,551.88,0
31,1,6,12,33000,4.2,145.53,1240.47,0
43,1,10,9,69000,6.4,410.69,4005.31,0
42,1,3,10,24000,10.6,666.53,1877.47,0
51,2,31,14,249000,7.8,4272.84,15149.16,0
22,1,4,3,19000,23.1,1887.27,2501.73,1
37,1,6,10,31000,11.7,1701.06,1925.94,1
22,3,1,3,25000,13.8,1976.85,1473.15,1
49,2,2,13,20000,16.9,378.56,3001.44,1
29,1,9,8,30000,8.2,154.98,2305.02,0
42,1,2,16,30000,9.7,1472.46,1437.54,0
34,1,15,0,67000,13.2,3741.01,5102.99,0
34,2,9,7,27000,1.7,295.14,163.86,0
32,2,5,5,43000,15,1806,4644,1
42,2,18,23,66000,9.6,1641.02,4694.98,0
24,1,3,0,14000,16.1,838.49,1415.51,1
34,1,16,9,48000,7.6,1473.79,2174.21,0
26,1,10,2,32000,4.7,126.34,1377.66,0
30,2,12,9,68000,20.1,2856.61,10811.39,0
32,1,4,3,16000,28.5,893.76,3666.24,1
38,3,13,18,25000,5.7,343.43,1081.58,0
43,2,10,24,37000,8.5,676.18,2468.83,0
31,2,9,8,53000,13.5,1194.89,5960.12,0
37,4,10,18,123000,17.3,3021.62,18257.38,0
37,2,4,11,20000,21.7,173.6,4166.4,1
41,3,12,11,86000,26.5,4991.01,17798.99,1
